column,missing_count,missing_percentage
case_id,0,0.0
file_name,0,0.0
source_url,0,0.0
no_perkara,0,0.0
tanggal_putus,0,0.0
tanggal_register,0,0.0
tahun,0,0.0
pengadilan,0,0.0
jenis_perkara,0,0.0
kategori,0,0.0
kata_kunci,0,0.0
terdakwa,0,0.0
terdakwa_anon,0,0.0
penuntut_umum,0,0.0
hakim_ketua,0,0.0
hakim_anggota,0,0.0
panitera,0,0.0
pasal,36,90.0
pasal_utama,36,90.0
jenis_narkotika,0,0.0
label_perbuatan,0,0.0
dakwaan,0,0.0
barang_bukti,1,2.5
amar,0,0.0
amar_lainnya,0,0.0
amar_putusan,0,0.0
pidana_penjara,0,0.0
denda,2,5.0
denda_rupiah,2,5.0
ringkasan_fakta,0,0.0
argumen_hukum_utama,0,0.0
length_words,0,0.0
text_full,0,0.0
