case_id,no_perkara,tanggal_putus,pengadilan,kategori,file_name,source_url
case_001,128/Pid.Sus/2026/PN Mlg,2026-06-22,PN MALANG,Narkotika dan Psikotropika,case_001.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1704163bdee14c0c3303935353537.html
case_002,114/Pid.Sus/2026/PN Mlg,2026-06-22,PN MALANG,Narkotika dan Psikotropika,case_002.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf170415f82b186bd08303935353530.html
case_003,130/Pid.Sus/2026/PN Mlg,2026-06-22,PN MALANG,Narkotika dan Psikotropika,case_003.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf170415b64e970b574303935353433.html
case_004,129/Pid.Sus/2026/PN Mlg,2026-06-22,PN MALANG,Narkotika dan Psikotropika,case_004.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf170415831fdd88dfc303935353338.html
case_005,117/Pid.Sus/2026/PN Mlg,2026-06-22,PN MALANG,Narkotika dan Psikotropika,case_005.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf17041572cc3dc9f4f303935353336.html
case_006,105/Pid.Sus/2026/PN Mlg,2026-06-24,PN MALANG,Narkotika dan Psikotropika,case_006.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1704144730198a1f1303935353034.html
case_007,115/Pid.Sus/2026/PN Mlg,2026-06-03,PN MALANG,Narkotika dan Psikotropika,case_007.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af2f5432ea2a5c4313535313535.html
case_008,93/Pid.Sus/2026/PN Mlg,2026-06-10,PN MALANG,Narkotika dan Psikotropika,case_008.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af2ec1b8ee6a043313535313430.html
case_009,120/Pid.Sus/2026/PN Mlg,2026-06-10,PN MALANG,Narkotika dan Psikotropika,case_009.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af2eb0b13f09d7b313535313338.html
case_010,107/Pid.Sus/2026/PN Mlg,2026-06-10,PN MALANG,Narkotika dan Psikotropika,case_010.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af2e39d950c9374313535313235.html
case_011,106/Pid.Sus/2026/PN Mlg,2026-06-17,PN MALANG,Narkotika dan Psikotropika,case_011.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af08613cc3c8658313533343239.html
case_012,81/Pid.Sus/2026/PN Mlg,2026-05-18,PN MALANG,Narkotika dan Psikotropika,case_012.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af05a3485208437313533333136.html
case_013,118/Pid.Sus/2026/PN Mlg,2026-06-17,PN MALANG,Narkotika dan Psikotropika,case_013.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16af0485aeec08452313533323436.html
case_014,90/Pid.Sus/2026/PN Mlg,2026-05-18,PN MALANG,Narkotika dan Psikotropika,case_014.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf160d1e92de056aad8313833303130.html
case_015,47/Pid.Sus/2026/PN Mlg,2026-05-06,PN MALANG,Narkotika dan Psikotropika,case_015.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf160d1bf48574e86e3313832383539.html
case_016,60/Pid.Sus/2026/PN Mlg,2026-05-06,PN MALANG,Narkotika dan Psikotropika,case_016.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf160d1bd00397a8899313832383536.html
case_017,62/Pid.Sus/2026/PN Mlg,2026-05-06,PN MALANG,Narkotika dan Psikotropika,case_017.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf160d1b288d02eb1d3313832383338.html
case_018,65/Pid.Sus/2026/PN Mlg,2026-05-04,PN MALANG,Narkotika dan Psikotropika,case_018.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf160d1936be99c9d9c313832373436.html
case_019,98/Pid.Sus/2026/PN Mlg,2026-06-03,PN MALANG,Narkotika dan Psikotropika,case_019.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf160d0dcb17a468c91313832323339.html
case_020,80/Pid.Sus/2026/PN Mlg,2026-05-20,PN MALANG,Narkotika dan Psikotropika,case_020.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1581af499bb28b825313632303232.html
case_021,109/Pid.Sus/2026/PN Mlg,2026-05-25,PN MALANG,Narkotika dan Psikotropika,case_021.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1581ac2f26804b492313631383538.html
case_022,99/Pid.Sus/2026/PN Mlg,2026-05-25,PN MALANG,Narkotika dan Psikotropika,case_022.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1581ac0edf208b834313631383535.html
case_023,100/Pid.Sus/2026/PN Mlg,2026-05-25,PN MALANG,Narkotika dan Psikotropika,case_023.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1581abf99a67cb849313631383533.html
case_024,46/Pid.Sus/2026/PN Mlg,2026-05-06,PN MALANG,Narkotika dan Psikotropika,case_024.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14ea20719deaea8ab313530323033.html
case_025,95/Pid.Sus/2026/PN Mlg,2026-05-06,PN MALANG,Narkotika dan Psikotropika,case_025.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14ea205fefb4e8d90313530323031.html
case_026,97/Pid.Sus/2026/PN Mlg,2026-05-13,PN MALANG,Narkotika dan Psikotropika,case_026.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14ea1e4e79f1abc89313530313036.html
case_027,29/Pid.Sus/2026/PN Mlg,2026-04-08,PN MALANG,Narkotika dan Psikotropika,case_027.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf144699d205cb892fa313435333032.html
case_028,491/Pid.Sus/2025/PN Mlg,2026-03-04,PN MALANG,Narkotika dan Psikotropika,case_028.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf1446477709ffaa3c4313431363131.html
case_029,70/Pid.Sus/2026/PN Mlg,2026-04-27,PN MALANG,Narkotika dan Psikotropika,case_029.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462ee8fd274aaf4313430353132.html
case_030,75/Pid.Sus/2026/PN Mlg,2026-04-29,PN MALANG,Narkotika dan Psikotropika,case_030.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462c750caa69144313430343036.html
case_031,83/Pid.Sus/2026/PN Mlg,2026-04-29,PN MALANG,Narkotika dan Psikotropika,case_031.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462c61debb48119313430343034.html
case_032,82/Pid.Sus/2026/PN Mlg,2026-04-29,PN MALANG,Narkotika dan Psikotropika,case_032.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462c371b6a288a4313430343030.html
case_033,34/Pid.Sus/2026/PN Mlg,2026-04-20,PN MALANG,Narkotika dan Psikotropika,case_033.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb682abb14c8250303834383232.html
case_034,35/Pid.Sus/2026/PN Mlg,2026-04-22,PN MALANG,Narkotika dan Psikotropika,case_034.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb6647127989018303834373331.html
